('﻿GivenName','Surname',Age,'Gender','SALLES','France'),
('Ruth','Pearson',28,'female','CONNAISSENT','Netherlands'),
('Libby','Gallagher',71,'female','VERRA','Guadeloupe'),
('Archer','Marshall-Hall',59,'male','SUCRÉ','Belize'),
('Dallas','Ray',20,'male','RECONVERSION','Paraguay'),
('Mason','Rodius',34,'male','SUSPECT','French Polynesia'),
('Mikayla','Poynton',62,'female','BOUSE','Dronning Maud Land'),
('George','Strother',68,'male','CONGRÈS','East Germany'),
('Andrew','Cloutier',38,'male','DÉCORÉ','Spain'),
('Alyssa','Freeman',66,'female','NOIRES','Latvia'),
('Callum','Bird',64,'male','ROM','France'),
('Isabelle','Pickering',37,'female','ANTICIPER','French Polynesia'),
('Francesca','Hopkins',69,'female','SUPPRESSIONS','France'),
('Leverett','Dagenais',29,'male','STATUAIRE','France'),
('Catherine','Lewis',75,'female','FAUBOURGS','France'),
('Kate','McMeckan',59,'female','REDRESSEMENT','French Southern and Antarctic Territories'),
('Rashida','Johnson',35,'female','NURSE','France'),
('Jeanie','Weaver',24,'female','SÉJOUR','France'),
('Gary','Mitchell',46,'male','POINTE','Bahamas'),
('Brooke','Dilke',49,'female','FÉLICITATION','France'),
('Isabelle','Boutot',38,'female','FONCTIONNER','Chad'),
('Ellie','Christian',80,'female','PENSEUR','South Georgia and the South Sandwich Islands'),
('Louie','Knowles',73,'male','REQUÊTES','Neutral Zone'),
('Josephine','Housman',22,'female','FROUSSE','Finland'),
('Nicholas','Talbot',48,'male','VÔTRES','Chad'),
('Cammile','Laisné',30,'female','BROUSSE','France'),
('Chad','Myers',28,'male','CRÉDIBILITÉ','U.S. Minor Outlying Islands'),
('Bertrand','Garnier',41,'male','PROCLAME','France'),
('Jude','Dunn',26,'male','DÉLAI','Åland Islands'),
('Platt','Dennis',54,'male','ANTICIPATION','Guinea'),
('Thelma','Wright',84,'female','ROBUSTESSE','France'),
('Maddison','Scutt',82,'female','FÉROCITÉ','France'),
('Perrin','Deschamps',33,'male','ÉQUILIBRER','Saint Vincent and the Grenadines'),
('Michael','King',80,'male','ÉQUIVOQUE','Bermuda'),
('Freya','Power',73,'female','SATURER','Botswana'),
('William','Mitchell',39,'male','EXSANGUE','France'),
('Creissant','Labrecque',75,'female','POTIRON','France'),
('Anton','Migneault',77,'male','CALAMITÉ','France'),
('Mallory','Covillon',65,'male','EXCESSIFS','France'),
('Martin','Clark',38,'male','CONVENUS','Taiwan'),
('Callum','Reinhold',41,'male','REDOUTE','Palestinian Territories'),
('Victoria','Power',65,'female','ASSAILLANTS','Angola'),
('Gaspar','Robillard',69,'male','PROTOCOLAIRE','Seychelles'),
('Isabel','Francis',73,'female','CITÉS','Kenya'),
('Claudette','Patel',25,'female','BORDS','France'),
('Jessica','Ford',31,'female','ACTEUR','Falkland Islands'),
('Hannah','Symon',85,'female','SALOPE','United Arab Emirates'),
('Lily','Bond',74,'female','TROUVAILLE','France'),
('Cynthia','Riggs',54,'female','CAPTIF','Belgium'),
('Sam','Knight',35,'male','MITAINE','France'),
('Paul','Resto',60,'male','CASSANT','Wallis and Futuna'),
('Belle','LaGarde',63,'female','ENRAYER','Venezuela'),
('Sara','Montgomery',20,'female','CARCASSONNE','Micronesia'),
('Chelsea','Cook',40,'female','JOUISSANCE','France'),
('Susanne','Barrientos',76,'female','DÉPLACEMENTS','Tanzania'),
